feature,clean_importance,poison_importance,clean_coeff,poison_coeff,importance_diff,coeff_diff
gender,0.8349199323555123,0.0075444870470353755,0.8349199323555123,-0.0075444870470353755,-0.827375445308477,-0.8424644194025477
cp,0.931552626531701,0.17177816516140074,0.931552626531701,0.17177816516140074,-0.7597744613703002,-0.7597744613703002
ca,0.6500325276381089,0.040432245445526926,-0.6500325276381089,-0.040432245445526926,-0.609600282192582,0.609600282192582
thal,0.4368213584133442,0.06736730649461176,-0.4368213584133442,-0.06736730649461176,-0.36945405191873243,0.36945405191873243
oldpeak,0.6741715229640067,0.3362812498545342,-0.6741715229640067,-0.3362812498545342,-0.3378902731094725,0.3378902731094725
slope,0.3549998711235831,0.040139540499500456,0.3549998711235831,0.040139540499500456,-0.31486033062408264,-0.31486033062408264
chol,0.22853061108381117,0.04558929764086359,-0.22853061108381117,0.04558929764086359,-0.1829413134429476,0.2741199087246748
trestbps,0.2709320084113578,0.1279580709795551,-0.2709320084113578,0.1279580709795551,-0.14297393743180267,0.3988900793909129
exang,0.45988349083979607,0.3364280789914202,-0.45988349083979607,-0.3364280789914202,-0.12345541184837588,0.12345541184837588
restecg,0.2953859583684443,0.278803446884831,0.2953859583684443,0.278803446884831,-0.016582511483613283,-0.016582511483613283
age,0.17458989353584534,0.15856389018466963,-0.17458989353584534,0.15856389018466963,-0.01602600335117571,0.33315378372051496
thalach,0.3039980962966774,0.29826669219646146,0.3039980962966774,0.29826669219646146,-0.005731404100215942,-0.005731404100215942
fbs,0.22472576453141246,0.2233139171854753,-0.22472576453141246,-0.2233139171854753,-0.0014118473459371617,0.0014118473459371617
